Review_Date,Author,Rating,Review_Title,Review,Review_Url
23 October 2014,utgard14,4," Poor Sequel
","Sin City was one of my favorite movies of the 2000s. A fun, creative film noir cartoon with unique visuals and a style all its own. The first problem you run into with this sequel is that it offers nothing new. It's a stylistic retread of the first movie, only less impressive. The visuals copy the first movie but somehow seem cheaper. The makeup effects aren't as good either, with Marv's jaw easily twice the size of the last movie. The action is weaker, with no memorable sequences and a final showdown that is derivative of the first movie. The other big problem is that the writing is very poor this time and the stories don't flow well together. The Dwight story is lame. The Johnny story is pointless. The Nancy story is impossible to take seriously, especially the ghost parts. Sadly, this movie is boring, listless, and disjointed. It's a movie that didn't need to be made. Still, it's always nice to see Eva Green naked. That's something that never gets old.",/review/rw3075793/?ref_=tt_urv
11 August 2022,Coventry,8," Sin City remains a cult-movie to die for
","To me - but, of course, I'm no Roger Ebert - the original ""Sin City"" belongs in the top three of greatest movies since the new Millennium. In between all the lame and goody-two-shoes adaptations of Marvel and DC comic books, the collaboration between artist Frank Miller and cult-director Robert Rodriguez stood out as unique, innovative, and immensely entertaining. Bizarrely enough, it took these same two genius men almost a decade to come up with the sequel, but it was worth the wait. Obviously, the element of surprise is gone, but all the rock-solid trademarks still stand.",/review/rw3075793/?ref_=tt_urv
20 August 2021,jack_o_hasanov_imdb,7," Not Bad
","Visually it's great, but in terms of story it's not as good as the first one. But I'm still very fond of it.",/review/rw3075793/?ref_=tt_urv
17 April 2015,Vartiainen,7," Unfortunately they used all the best stories in the first one
","Sin City: A Dame to Kill For is not a bad idea on paper. Frank Miller's Sin City universe is a rich and interesting setting, and as the first Sin City film proved, it translates to the silver screen beautifully. Unfortunately they decided to stick all the best stories into the first film, thus guaranteeing its success, but leaving the possible sequel without much material to use. Not that the stories used here are bad, they're just not as great as the ones used in the first one. Tellingly Miller was actually called back to write two new stories exclusively for the film. It shows.",/review/rw3075793/?ref_=tt_urv
16 September 2014,jessemorrison99,7," I don't see why everyone hates it so much.
","*Minor spoilers involving structure of the film, no plot points*",/review/rw3075793/?ref_=tt_urv
29 December 2014,Rickting,6," Sin City 2 lacks punch but still offers gritty, visually stunning comic book fun
","After 9 years Robert Rodriguez and Frank Miller finally made a sequel to their masterpiece from 2005, Sin City, and.... no-one went to see it. One of 2014's biggest and definitely the most surprising box office bomb, critics were also fairly unkind to the film. It's not as bad as some say it is, but it's best summed up as this: The Kick-Ass 2 of 2014. An enjoyable sequel which lacks the original's impact and misses the point, and struggles to hit a peak when the scene stealer from the first is off screen. In Sin City: A Dame To Kill For, we return to the nastiest, darkest and grittiest city in comic book movies for more brutal stories of justice, sin and moral corruption. In one Marv becomes an amnesiac, in another a cocky gambler finds himself in trouble when he beats the wrong man at poker, in another Nancy Callahan takes revenge on the man who caused the death of John Hartigan and another involves Dwight's encounter with a mysterious femme fatale played by Eva Green. What's noticeable about these stories? They emphasize action and that wasn't the point of the first.",/review/rw3075793/?ref_=tt_urv
20 August 2014,Frogfisher,7," Good and entertaining... but lacks the novelty of the first.
","A Dame to Kill for is by no means a boring or bad film. It succeeds as a satisfying sequel to the far more novel and perhaps stronger Sin City... it is bloody, violent, beautifully made, with cool deep voices, nudity and clearly fitting into the film noir genre. Where it falls short is in the charactersationssliding a bit, the strength of two original stories, the change in actors and the gap between the first and second film. There is also a desperate need for more iconic moments which the Sin City comics and the film has plenty of, but they never really come in A Dame to Kill for. ",/review/rw3075793/?ref_=tt_urv
8 November 2014,claudio_carvalho,7," Death is Just like Life in Sin City
","Marv (Mickey Rourke) is unconscious on a highway surrounded by corpses. When he awakes, he has amnesia and tries to recall his last steps from the Kadie's saloon on the Saturday night. He recalls that he found four playboys burning a homeless man alive and defended the poor man. Marv hunts them down and kills the group.",/review/rw3075793/?ref_=tt_urv
26 August 2014,drjgardner,4," Don't get your hopes up
","I'm a big fan of Frank Miller's work, and ""Sin City"" (2005) and ""300"" (2006) are two of my favorite films. But just as the sequel ""300 Rise of an Empire"" disappointed, this sequel is not up to the original. In fact, it is so far from the original it's disturbing. There is nothing new here, and much of what made the original entertaining is missing as well. More problematic, everyone's voice seems the same.",/review/rw3075793/?ref_=tt_urv
6 November 2021,sauravjoshi85,7," Please do not hear to critics about this film
","Sin City: A Dame to Kill For a.k.a as Frank Miller's Sin City: A Dame to Kill For is an action crime film and follow-up to the 2005 film Sin City. The film is Directed by Robert Rodriguez and Frank Miller. The film stars ensemble cast of Mickey Rourke, Jessica Alba, Rosario Dawson, Jaime King, Late Powers Boothe, Bruce Willis, Josh Brolin, Joseph Gordon-Levitt, Eva Green, Dennis Haysbert, Ray Liotta, Christopher Lloyd, Jamie Chung, Jeremy Piven, Christopher Meloni, Stacy Keach, Lady Gaga, Alexa Vega, Julia Garner, and Juno Temple.",/review/rw3075793/?ref_=tt_urv
