Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating,Path
John Wick: Chapter 2,(2017),"Action,Crime,Thriller","After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.","https://m.media-amazon.com/images/M/MV5BMjE2NDkxNTY2M15BMl5BanBnXkFtZTgwMDc2NzE0MTI@._V1_QL75_UX280_CR0,3,280,414_.jpg",4425200,https://www.imdb.com/title/tt4425200/,122 min,A,"438,276",7.4,Posters/4425200.jpg
Heartland,(II) (2007– ),"Drama,Family","A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.","https://m.media-amazon.com/images/M/MV5BY2Q2ZjdhZGYtMmMwMS00ZWJhLTlhMjktNDU0ZDJiN2M3ZGNkXkEyXkFqcGdeQXVyMzc0ODEwMg@@._V1_QL75_UX280_CR0,3,280,414_.jpg",1094229,https://www.imdb.com/title/tt1094229/,45 min,16,"17,385",8.5,Posters/1094229.jpg
Don't Look Up,(2021),"Comedy,Drama,Sci-Fi",Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,"https://m.media-amazon.com/images/M/MV5BZjcwZjY3NjAtNzkxZS00NmFjLTg1OGYtODJmMThhY2UwMTc5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX280_CR0,3,280,414_.jpg",11286314,https://www.imdb.com/title/tt11286314/,138 min,18,"541,908",7.2,Posters/11286314.jpg
Bosch,(2014–2021),"Crime,Drama",An L.A.P.D. homicide detective works to solve the murder of a 13-year-old boy while standing trial in federal court for the murder of a serial killer.,"https://m.media-amazon.com/images/M/MV5BZDBiYjg4OTgtZDg2YS00ZGIzLTk3ZWMtZWRlZDQ5M2I0MDNhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX280_CR0,3,280,414_.jpg",3502248,https://www.imdb.com/title/tt3502248/,51 min,18,"73,251",8.5,Posters/3502248.jpg
The Good Wife,(2009–2016),"Crime,Drama,Mystery","Alicia Florrick has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.","https://m.media-amazon.com/images/M/MV5BMTI2OTk4MDk3OF5BMl5BanBnXkFtZTcwMTY3NTc3Mg@@._V1_QL75_UX280_CR0,3,280,414_.jpg",1442462,https://www.imdb.com/title/tt1442462/,43 min,16,"77,212",8.4,Posters/1442462.jpg
No Country for Old Men,(2007),"Crime,Drama,Thriller",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",477348,https://www.imdb.com/title/tt0477348/,122 min,18,"980,327",8.2,Posters/477348.jpg
Mission: Impossible - Fallout,(2018),"Action,Adventure,Thriller","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.","https://m.media-amazon.com/images/M/MV5BNjRlZmM0ODktY2RjNS00ZDdjLWJhZGYtNDljNWZkMGM5MTg0XkEyXkFqcGdeQXVyNjAwMjI5MDk@._V1_QL75_UX280_CR0,3,280,414_.jpg",4912910,https://www.imdb.com/title/tt4912910/,147 min,U/A,"336,865",7.7,Posters/4912910.jpg
Bohemian Rhapsody,(2018),"Biography,Drama,Music","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).","https://m.media-amazon.com/images/M/MV5BMTA2NDc3Njg5NDVeQTJeQWpwZ15BbWU4MDc1NDcxNTUz._V1_QL75_UX280_CR0,3,280,414_.jpg",1727824,https://www.imdb.com/title/tt1727824/,134 min,UA,"544,256",7.9,Posters/1727824.jpg
How to Get Away with Murder,(2014–2020),"Crime,Drama,Mystery",A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,"https://m.media-amazon.com/images/M/MV5BZDQ5ZDRhMWItNjA5Ni00MDhiLTgwN2EtZjFkYzgzNjBhZTIyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",3205802,https://www.imdb.com/title/tt3205802/,43 min,18+,"153,924",8.1,Posters/3205802.jpg
The Wheel of Time,(2021– ),"Action,Adventure,Drama","Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan.","https://m.media-amazon.com/images/M/MV5BYzA2Nzk5M2EtNWY4Yi00ZDY4LThkZTgtYjhhNWEyMGY0MjFjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",7462410,https://www.imdb.com/title/tt7462410/,60 min,A,"106,797",7.1,Posters/7462410.jpg
