Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating
Indiana Jones and the Dial of Destiny,(2023),"Action,Adventure",Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,"https://m.media-amazon.com/images/M/MV5BZDQxMTY3NTAtMzYwYi00Y2U3LThkYmQtOTljY2I4ZmJiZGIzXkEyXkFqcGdeQXVyMTU1NzY5NTky._V1_QL75_UX280_CR0,3,280,414_.jpg",1462764,https://www.imdb.com/title/tt1462764/,154 min,UA,"60,661",6.9
The Witcher,(2019– ),"Action,Adventure,Drama","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","https://m.media-amazon.com/images/M/MV5BMDEwOWVlY2EtMWI0ZC00OWVmLWJmZGItYTk3YjYzN2Y0YmFkXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX280_CR0,3,280,414_.jpg",5180504,https://www.imdb.com/title/tt5180504/,60 min,A,"529,791",8.1
Black Mirror,(2011– ),"Drama,Mystery,Sci-Fi","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","https://m.media-amazon.com/images/M/MV5BZTgyNTBkNzctN2I3NC00NTA1LWJiMDMtYzA2MmYyZjc1NWQzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX280_CR0,3,280,414_.jpg",2085059,https://www.imdb.com/title/tt2085059/,60 min,A,"596,202",8.7
The Bear,(2022– ),"Comedy,Drama",A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.,"https://m.media-amazon.com/images/M/MV5BYmM4MjBkNGMtZjE5Zi00ZDMwLWE5MjYtN2M0MTM2YTQ2MmNlXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX280_CR0,3,280,414_.jpg",14452776,https://www.imdb.com/title/tt14452776/,30 min,18,"108,858",8.5
Sound of Freedom,(2023),"Action,Biography,Drama",The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers.,"https://m.media-amazon.com/images/M/MV5BNTAwNWQ1ZjQtZDFmMC00YjNlLWFlNjItMjJlYzZkMjJlNzkyXkEyXkFqcGdeQXVyNzc0MTgzMzU@._V1_QL75_UX280_CR0,3,280,414_.jpg",7599146,https://www.imdb.com/title/tt7599146/,131 min,PG-13,"12,615",8.6
Silo,(2023– ),"Drama,Mystery,Sci-Fi",Men and women live in a giant silo underground with several regulations which they believe are in place to protect them from the toxic and ruined world on the surface.,"https://m.media-amazon.com/images/M/MV5BNTk3MGJkZGItNzRjYy00MDhiLWExMjUtOWU2Njc3YWRmOWE3XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX280_CR0,3,280,414_.jpg",14688458,https://www.imdb.com/title/tt14688458/,-,A,"51,463",8.1
Jack Ryan,(2018–2023),"Action,Drama,Thriller","Up-and-coming CIA analyst, Jack Ryan, is thrust into dangerous field assignments.","https://m.media-amazon.com/images/M/MV5BODU0MmZjYjktOGQ4MS00N2QwLTk5MzQtYTRkMGRiM2Q4ZjViXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX280_CR0,3,280,414_.jpg",5057054,https://www.imdb.com/title/tt5057054/,60 min,16+,"153,716",8.0
The Idol,(2023),Drama,"Jocelyn is desperate to reclaim her rightful title as the greatest and sexiest pop diva in America after a nervous breakdown disrupted her most recent tour after Tedros, a notorious nightclub entrepreneur, reignites her passions.","https://m.media-amazon.com/images/M/MV5BYzU3YmMwYjItYzQ0My00YjYzLThlZjItNTdmNjY5ZTZjNWY5XkEyXkFqcGdeQXVyMTY1MTU0NzEz._V1_QL75_UX280_CR0,3,280,414_.jpg",14954666,https://www.imdb.com/title/tt14954666/,276 min,A,"64,381",5.0
Secret Invasion,(2023),"Action,Adventure,Drama",Fury and Talos try to stop the Skrulls who have infiltrated the highest spheres of the Marvel Universe.,"https://m.media-amazon.com/images/M/MV5BM2FlYzVmNWQtNzE4ZS00OTMwLTlhYTUtZDY0YTEyZTRlZDlkXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX280_CR0,3,280,414_.jpg",13157618,https://www.imdb.com/title/tt13157618/,-,UA 16+,"15,253",6.8
No Hard Feelings,(2023),"Comedy,Romance","On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying.","https://m.media-amazon.com/images/M/MV5BMjg3N2M3OWUtZGQ3NC00OGI1LTllZDUtMTdiYWQxMTk0YTg2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX280_CR0,3,280,414_.jpg",15671028,https://www.imdb.com/title/tt15671028/,103 min,A,"17,539",6.8
Hijack,(2023– ),"Drama,Thriller","A plane from Dubai to London is hijacked over a 7-hour flight, while authorities on the ground scramble for answers.","https://m.media-amazon.com/images/M/MV5BZTZiODlmYmQtOGRhYS00ZmFlLTk5YzYtMDJmODU5NjUyMTk3XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_QL75_UX280_CR0,3,280,414_.jpg",19854762,https://www.imdb.com/title/tt19854762/,-,A,"5,385",7.8
Suits,(2011–2019),"Comedy,Drama","On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","https://m.media-amazon.com/images/M/MV5BNmVmMmM5ZmItZDg0OC00NTFiLWIxNzctZjNmYTY5OTU3ZWU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX280_CR0,3,280,414_.jpg",1632701,https://www.imdb.com/title/tt1632701/,44 min,13+,"431,641",8.4
Asteroid City,(2023),"Comedy,Drama,Romance","Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever.","https://m.media-amazon.com/images/M/MV5BNDJmMzY0ZGUtYWE1My00OWViLTg1NTctOWMwZWJlNDQzNGRiXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX280_CR0,3,280,414_.jpg",14230388,https://www.imdb.com/title/tt14230388/,105 min,PG-13,"29,297",7.1
Spider-Man: Across the Spider-Verse,(2023),"Animation,Action,Adventure","Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","https://m.media-amazon.com/images/M/MV5BMzI0NmVkMjEtYmY4MS00ZDMxLTlkZmEtMzU4MDQxYTMzMjU2XkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_QL75_UX280_CR0,3,280,414_.jpg",9362722,https://www.imdb.com/title/tt9362722/,140 min,U,"177,083",8.9
Mission: Impossible - Dead Reckoning Part One,(2023),"Action,Adventure,Thriller",Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,"https://m.media-amazon.com/images/M/MV5BMDkyMmZlN2EtMzhlNC00ODc5LTk0ODgtOWRlNzRkYzRkNTdmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",9603212,https://www.imdb.com/title/tt9603212/,163 min,UA,"7,847",8.3
The Flash,(2023),"Action,Adventure,Fantasy","Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.","https://m.media-amazon.com/images/M/MV5BZWE2ZWE5MDQtMTJlZi00MTVjLTkxOTgtNmNiYjg2NDIxN2NhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX280_CR0,3,280,414_.jpg",0439572,https://www.imdb.com/title/tt0439572/,144 min,UA,"85,716",7.2
Succession,(2018–2023),"Comedy,Drama","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","https://m.media-amazon.com/images/M/MV5BZTY0YjU0NTUtMGRmNS00NDMyLWI2MzYtNjM2MmM1M2FkMjkyXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_QL75_UX280_CR0,3,280,414_.jpg",7660850,https://www.imdb.com/title/tt7660850/,60 min,15+,"218,373",8.9
Nimona,(2023),"Animation,Action,Adventure","When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy.","https://m.media-amazon.com/images/M/MV5BYWQ2YzJhOGItNTMyOC00YzFmLWExZjEtOGFmMDVkMDdmOGFiXkEyXkFqcGdeQXVyMTUxNTU1NzEz._V1_QL75_UX280_CR0,3,280,414_.jpg",19500164,https://www.imdb.com/title/tt19500164/,101 min,PG,"12,406",7.7
Insidious: The Red Door,(2023),"Horror,Mystery,Thriller",The Lamberts must go deeper into The Further than ever before to put their demons to rest once and for all.,"https://m.media-amazon.com/images/M/MV5BMjdlZjI4YTEtNjgzZi00NTA1LWIwZWYtMDc0MzhjOWNlYjcxXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX280_CR0,3,280,414_.jpg",13405778,https://www.imdb.com/title/tt13405778/,107 min,A,"6,060",6.0
Extraction 2,(2023),"Action,Thriller","After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission.","https://m.media-amazon.com/images/M/MV5BZjg5MTM4N2QtN2RlMS00NzBlLTg3NDktM2ExZDNmMmExMGU3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",12263384,https://www.imdb.com/title/tt12263384/,122 min,A,"90,403",7.1
From,(2022– ),"Drama,Horror,Mystery","Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normalcy and seek a way out, they must also survive the threats of the surrounding forest.","https://m.media-amazon.com/images/M/MV5BNDQxOGI4ZjItM2NhZC00Y2FhLWEwZTAtZTc2MmJmNzY1MjViXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UX280_CR0,3,280,414_.jpg",9813792,https://www.imdb.com/title/tt9813792/,52 min,NA,"45,994",7.7
The Lincoln Lawyer,(2022– ),"Crime,Drama,Mystery",An iconoclastic idealist runs his law practice out of the back of his Lincoln Town Car in this series based on Michael Connelly's bestselling novels.,"https://m.media-amazon.com/images/M/MV5BYmE0YjNkZjUtZmM5YS00NTFlLWJjOWUtODFiNzkwM2Q3OWJhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",13833978,https://www.imdb.com/title/tt13833978/,60 min,UA 16+,"43,864",7.7
Run Rabbit Run,(2023),"Horror,Thriller","Sarah Snook plays a fertility doctor who believes firmly in life and death, but after noticing the strange behavior of her young daughter, she must challenge her own values and confront a ghost from her past.","https://m.media-amazon.com/images/M/MV5BMDE5MmY4ZDUtNGZmOS00NDBjLWE0MGUtOTQ4ZDgyNjM3MmEyXkEyXkFqcGdeQXVyMTUzOTczNzYx._V1_QL75_UX280_CR0,3,280,414_.jpg",12547822,https://www.imdb.com/title/tt12547822/,100 min,NA,"5,431",5.0
Guardians of the Galaxy Vol. 3,(2023),"Action,Adventure,Comedy","Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.","https://m.media-amazon.com/images/M/MV5BMDgxOTdjMzYtZGQxMS00ZTAzLWI4Y2UtMTQzN2VlYjYyZWRiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",6791350,https://www.imdb.com/title/tt6791350/,150 min,UA,"201,397",8.1
Game of Thrones,(2011–2019),"Action,Adventure,Drama","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","https://m.media-amazon.com/images/M/MV5BN2IzYzBiOTQtNGZmMi00NDI5LTgxMzMtN2EzZjA1NjhlOGMxXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX280_CR0,3,280,414_.jpg",0944947,https://www.imdb.com/title/tt0944947/,57 min,A,"2,178,385",9.2
Star Trek: Strange New Worlds,(2022– ),"Action,Adventure,Sci-Fi","A prequel to Star Trek: The Original Series, the show follows the crew of the USS Enterprise under Captain Christopher Pike.","https://m.media-amazon.com/images/M/MV5BM2Q2YWM0NWMtMGJmYS00NjY3LTg2MDctY2ViY2ZiM2Y5ZTAyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",12327578,https://www.imdb.com/title/tt12327578/,52 min,Not Rated,"42,493",8.2
Ted Lasso,(2020– ),"Comedy,Drama,Sport","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.","https://m.media-amazon.com/images/M/MV5BMTdmZjBjZjQtY2JiNS00Y2ZlLTg2NzgtMjUzMGY2OTVmOWJiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",10986410,https://www.imdb.com/title/tt10986410/,30 min,A,"290,308",8.8
The Righteous Gemstones,(2019– ),"Comedy,Drama","Follows a world-famous televangelist family with a long tradition of deviance, greed, and charitable work.","https://m.media-amazon.com/images/M/MV5BZTJlNTA1ZWQtYmE4NS00MWVmLWE1OTktOWRjMWNjNzE4OWY3XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_QL75_UX280_CR0,3,280,414_.jpg",8634332,https://www.imdb.com/title/tt8634332/,36 min,A,"37,981",8.1
Yellowstone,(2018–2023),"Drama,Western",A ranching family in Montana faces off against others encroaching on their land.,"https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_QL75_UX280_CR0,3,280,414_.jpg",4236770,https://www.imdb.com/title/tt4236770/,60 min,18,"182,665",8.7
Elemental,(2023),"Animation,Adventure,Comedy","Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together.","https://m.media-amazon.com/images/M/MV5BZjYxYWVjMDMtZGRjZS00ZDE4LTk0OWUtMjUyOTI4MmYxNjgwXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX280_CR0,3,280,414_.jpg",15789038,https://www.imdb.com/title/tt15789038/,101 min,U,"19,326",7.1
The Out-Laws,(2023),"Action,Comedy,Crime","A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.","https://m.media-amazon.com/images/M/MV5BM2JmMmE0NjYtODUzNS00ZDg2LTk2ZjMtNDBiNjhlMGU2NjJlXkEyXkFqcGdeQXVyMTQ4NTgxNzYx._V1_QL75_UX280_CR0,3,280,414_.jpg",11274492,https://www.imdb.com/title/tt11274492/,95 min,A,"7,719",5.4
Titanic,(1997),"Drama,Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX280_CR0,3,280,414_.jpg",0120338,https://www.imdb.com/title/tt0120338/,194 min,UA,"1,230,288",7.9
The Crowded Room,(2023– ),"Biography,Crime,Drama","In Manhattan in the summer of 1979, a young man is arrested for a shocking crime, and an unlikely investigator must solve the mystery behind it before the true criminal strikes again.","https://m.media-amazon.com/images/M/MV5BYTkxMDc2OTUtNjAyYi00NDUyLWE4OGMtODQwMjY5ZmRmOTMwXkEyXkFqcGdeQXVyMjM3NjM3Mg@@._V1_QL75_UX280_CR0,3,280,414_.jpg",14417718,https://www.imdb.com/title/tt14417718/,-,A,"6,201",7.1
Avatar: The Way of Water,(2022),"Action,Adventure,Fantasy","Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.","https://m.media-amazon.com/images/M/MV5BYjhiNjBlODctY2ZiOC00YjVlLWFlNzAtNTVhNzM1YjI1NzMxXkEyXkFqcGdeQXVyMjQxNTE1MDA@._V1_QL75_UX280_CR0,3,280,414_.jpg",1630029,https://www.imdb.com/title/tt1630029/,192 min,UA,"429,072",7.6
Breaking Bad,(2008–2013),"Crime,Drama,Thriller",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,"https://m.media-amazon.com/images/M/MV5BYmQ4YWMxYjUtNjZmYi00MDQ1LWFjMjMtNjA5ZDdiYjdiODU5XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UX280_CR0,3,280,414_.jpg",0903747,https://www.imdb.com/title/tt0903747/,49 min,18,"1,999,489",9.5
Outlander,(2014– ),"Drama,Fantasy,Romance","Claire Beauchamp Randall, a nurse in World War II, mysteriously goes back in time to Scotland in 1743. There, she meets a dashing Highland warrior and gets drawn into an epic rebellion.","https://m.media-amazon.com/images/M/MV5BNGY5NmFmOGItYTY4My00M2JlLTkzYTMtZTUzN2YyZmUzMTlmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",3006802,https://www.imdb.com/title/tt3006802/,60 min,A,"168,288",8.4
Evil Dead Rise,(2023),Horror,"A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.","https://m.media-amazon.com/images/M/MV5BMmZiN2VmMjktZDE5OC00ZWRmLWFlMmEtYWViMTY4NjM3ZmNkXkEyXkFqcGdeQXVyMTI2MTc2ODM3._V1_QL75_UX280_CR0,3,280,414_.jpg",13345606,https://www.imdb.com/title/tt13345606/,96 min,A,"94,553",6.6
John Wick: Chapter 4,(2023),"Action,Crime,Thriller","John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","https://m.media-amazon.com/images/M/MV5BMDExZGMyOTMtMDgyYi00NGIwLWJhMTEtOTdkZGFjNmZiMTEwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX280_CR0,3,280,414_.jpg",10366206,https://www.imdb.com/title/tt10366206/,169 min,A,"236,854",7.9
Warrior,(2019– ),"Action,Crime,Drama","During the Tong Wars in the late 1800s, Ah Sahm, a martial arts prodigy from China, immigrates to San Francisco and becomes a hatchet man for the most powerful tong in Chinatown.","https://m.media-amazon.com/images/M/MV5BMmQwZWYzNWEtYTMyYy00YzBjLTlkNmQtMmI4ZTdhNDRmZDFkXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_QL75_UX280_CR0,3,280,414_.jpg",5743796,https://www.imdb.com/title/tt5743796/,60 min,18,"30,406",8.4
The Walking Dead,(2010–2022),"Drama,Horror,Thriller",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"https://m.media-amazon.com/images/M/MV5BZmU5NTcwNjktODIwMi00ZmZkLTk4ZWUtYzVjZWQ5ZTZjN2RlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",1520211,https://www.imdb.com/title/tt1520211/,44 min,18+,"1,034,529",8.1
It's Always Sunny in Philadelphia,(2005– ),Comedy,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,"https://m.media-amazon.com/images/M/MV5BZDc4NjU1MmMtZjIzNy00MWRhLWI4ZjUtYjY4YmFlY2NjMzA0XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX280_CR0,3,280,414_.jpg",0472954,https://www.imdb.com/title/tt0472954/,22 min,UA,"238,451",8.8
Indiana Jones and the Kingdom of the Crystal Skull,(2008),"Action,Adventure","In 1957, Indiana Jones becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.","https://m.media-amazon.com/images/M/MV5BZmY5ZTk3ZDMtZjA1MS00NzU4LTk5ZDItYmNhOTkxMGYxMjRlXkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_QL75_UX280_CR0,3,280,414_.jpg",0367882,https://www.imdb.com/title/tt0367882/,122 min,U,"473,950",6.2
Dungeons & Dragons: Honor Among Thieves,(2023),"Action,Adventure,Comedy","A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","https://m.media-amazon.com/images/M/MV5BNmFkN2M2NzItOTY5YS00MmE2LTk3ZjctNTk2YzQ5ZmRiYzJjXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX280_CR0,3,280,414_.jpg",2906216,https://www.imdb.com/title/tt2906216/,134 min,UA,"147,492",7.3
